tag,n_reviews,n_toxic,toxicity_rate,toxicity_pct
Dynamic Narration,160017,1772,0.011073823406263084,1.1073823406263084
Birds,11580,128,0.011053540587219343,1.1053540587219344
Cycling,22175,245,0.01104847801578354,1.104847801578354
LEGO,113231,1251,0.011048211178917433,1.1048211178917433
Procedural Generation,1561475,17231,0.011035079011831761,1.103507901183176
Management,2905673,31990,0.011009497627571994,1.1009497627571994
Hex Grid,402678,4426,0.010991412493356976,1.0991412493356976
Life Sim,654007,7187,0.01098917901490351,1.098917901490351
Typing,61802,672,0.010873434516682308,1.0873434516682308
Collectathon,347382,3757,0.010815183285259456,1.0815183285259455
Benchmark,31258,336,0.01074924819246273,1.0749248192462728
Point & Click,1519362,16317,0.010739376132876826,1.0739376132876826
ATV,14561,156,0.010713549893551267,1.0713549893551266
Puzzle Platformer,774189,8213,0.010608520658392202,1.0608520658392202
Party-Based RPG,787630,8340,0.010588728209946295,1.0588728209946294
Investigation,378211,4001,0.010578751014645265,1.0578751014645265
Web Publishing,28918,305,0.010547064112317588,1.0547064112317588
Emotional,983738,10375,0.01054650730174091,1.054650730174091
Vikings,89895,948,0.01054563657600534,1.054563657600534
Turn-Based Combat,1081471,11403,0.010543972052879828,1.0543972052879829
Isometric,1684039,17557,0.010425530525124418,1.0425530525124418
FMV,256957,2669,0.010386951902458388,1.0386951902458388
Abstract,204819,2120,0.010350602239050087,1.0350602239050088
Philosophical,181426,1874,0.01032928025751546,1.032928025751546
Cats,290867,2998,0.010307116310891233,1.0307116310891233
Minimalist,657468,6769,0.010295558110812997,1.0295558110812997
Time Management,250367,2568,0.010256942807957917,1.0256942807957918
Mars,50505,517,0.010236610236610237,1.0236610236610237
Logic,308836,3154,0.010212539988861402,1.0212539988861402
Music-Based Procedural Generation,96918,984,0.010152912771621371,1.0152912771621372
Real-Time,427305,4328,0.010128596669826002,1.0128596669826002
Education,492155,4983,0.0101248590383111,1.01248590383111
Beautiful,1046347,10538,0.010071228760631034,1.0071228760631035
Science,324490,3235,0.009969490585226047,0.9969490585226047
Inventory Management,272196,2680,0.009845846375405958,0.9845846375405958
Tactical RPG,623234,6093,0.009776424264401493,0.9776424264401493
Ambient,30902,300,0.009708109507475244,0.9708109507475243
Design & Illustration,202304,1954,0.009658731414109459,0.9658731414109458
Steam Machine,1971,19,0.009639776763064434,0.9639776763064434
Action RTS,114218,1098,0.009613195818522475,0.9613195818522475
Nature,548224,5222,0.009525303525566192,0.9525303525566192
Cooking,189039,1800,0.009521844698712964,0.9521844698712965
Open World Survival Craft,1482032,14072,0.00949507163138178,0.949507163138178
Resource Management,1647641,15532,0.009426810816191148,0.9426810816191148
Space Sim,598351,5626,0.009402507892524621,0.9402507892524621
City Builder,1470058,13759,0.009359494659394391,0.9359494659394391
Dungeons & Dragons,69278,641,0.009252576575536246,0.9252576575536245
Economy,1459310,13443,0.009211887809992393,0.9211887809992393
Relaxing,2270808,20653,0.009095000546061138,0.9095000546061138
Hardware,20238,183,0.009042395493625852,0.9042395493625852
Experience,48779,438,0.00897927386785297,0.8979273867852969
Colony Sim,650102,5756,0.008853995219211755,0.8853995219211754
Traditional Roguelike,43374,373,0.008599621893300134,0.8599621893300133
Hidden Object,353672,3033,0.00857574249587188,0.8575742495871881
Narrative,214801,1798,0.00837053831220525,0.837053831220525
Job Simulator,31880,255,0.007998745294855709,0.7998745294855709
Auto Battler,104128,817,0.007846112476951444,0.7846112476951445
Grid-Based Movement,64908,506,0.007795649226597646,0.7795649226597646
Coding,12775,94,0.00735812133072407,0.735812133072407
Transportation,314428,2294,0.007295787906929408,0.7295787906929408
Electronic Music,13067,95,0.007270222698400551,0.727022269840055
Creature Collector,298121,2146,0.007198419433719866,0.7198419433719866
Roguevania,21399,153,0.007149866816206365,0.7149866816206365
Fishing,297482,2061,0.006928150274638466,0.6928150274638466
Trains,126622,876,0.006918229059721059,0.6918229059721059
Archery,94830,654,0.006896551724137931,0.6896551724137931
Farming Sim,467791,3127,0.006684609152377878,0.6684609152377878
Agriculture,356060,2284,0.006414649216424199,0.6414649216424199
Automation,493289,3149,0.006383681776808321,0.6383681776808321
8-bit Music,713,4,0.005610098176718092,0.5610098176718092
Farming,73138,382,0.005223003090048949,0.5223003090048949
Wholesome,177397,916,0.005163559699431219,0.5163559699431219
Cozy,252912,1237,0.004891029290820523,0.4891029290820523
Cricket,5961,28,0.004697198456634793,0.4697198456634793
Fox,7161,30,0.0041893590280687055,0.41893590280687054
Dice,10411,33,0.0031697243300355393,0.31697243300355393
Hobby Sim,391,1,0.0025575447570332483,0.2557544757033248
