src,label,arm,model,eval,prev,aucpr,aucpr_sd,roc,roc_sd,f1m,f1m_sd,f1p,f1p_sd,precp,precp_sd,recp,recp_sd
MiniLM,rate,content_leavetoxicout,xgb,REAL,0.1278,0.2149,0.0061,0.6601,0.0091,0.5731,0.006,0.2666,0.0074,0.2453,0.0145,0.294,0.0244
MiniLM,rate,content_leavetoxicout,xgb,BALANC,0.5,0.6403,0.0029,0.6596,0.0033,0.6167,0.0025,0.6215,0.0082,0.6142,0.0043,0.6293,0.0199
MiniLM,rate,content,lgbm,REAL,0.1278,0.4302,0.0122,0.8122,0.0046,0.6783,0.0047,0.4424,0.0083,0.4258,0.0196,0.4622,0.0265
MiniLM,rate,content,lgbm,BALANC,0.5,0.8035,0.0033,0.8113,0.003,0.7341,0.0024,0.7384,0.0031,0.7268,0.0042,0.7505,0.0081
MiniLM,rate,content,linsvc,REAL,0.1278,0.4612,0.0155,0.8299,0.0057,0.6946,0.0039,0.4721,0.0049,0.4474,0.0154,0.5003,0.0128
MiniLM,rate,content,linsvc,BALANC,0.5,0.8212,0.0035,0.8292,0.0025,0.7515,0.0025,0.751,0.0021,0.7526,0.0063,0.7495,0.0075
MiniLM,rate,content,logreg,REAL,0.1278,0.4596,0.0153,0.8299,0.0058,0.6935,0.0054,0.4743,0.0065,0.4314,0.0209,0.5285,0.0222
MiniLM,rate,content,logreg,BALANC,0.5,0.8208,0.0036,0.8292,0.0025,0.7505,0.0024,0.7462,0.0029,0.7595,0.0071,0.7336,0.0101
MiniLM,rate,content,mlp,REAL,0.1278,0.4004,0.0113,0.786,0.0079,0.6662,0.0048,0.4212,0.0083,0.4061,0.0143,0.4383,0.0185
MiniLM,rate,content,mlp,BALANC,0.5,0.7845,0.0029,0.7858,0.0025,0.7138,0.0025,0.7102,0.006,0.7196,0.007,0.7015,0.0169
MiniLM,rate,content,svc,REAL,0.1278,0.4817,0.0171,0.8087,0.0067,0.7021,0.0055,0.4823,0.0112,0.4711,0.0046,0.4945,0.0233
MiniLM,rate,content,svc,BALANC,0.5,0.82,0.002,0.8084,0.0016,0.7434,0.0015,0.7325,0.004,0.7668,0.0108,0.7016,0.0152
MiniLM,rate,content,xgb,REAL,0.1278,0.413,0.0155,0.8006,0.0052,0.6738,0.0051,0.4347,0.0087,0.4178,0.0156,0.4541,0.0205
MiniLM,rate,content,xgb,BALANC,0.5,0.7946,0.0031,0.8006,0.0023,0.7245,0.0019,0.7182,0.0046,0.7356,0.006,0.7019,0.0133
mpnet,count,combined,histgb,REAL,0.04,0.4495,0.0024,0.9296,0.0008,0.7143,0.0007,0.4528,0.0022,0.4292,0.0144,0.4806,0.0233
mpnet,count,combined,histgb,BALANC,0.5,0.9217,0.0013,0.9294,0.0008,0.8541,0.001,0.8578,0.0012,0.8371,0.0036,0.8795,0.0054
mpnet,count,combined,lgbm,REAL,0.04,0.4507,0.0038,0.9301,0.0011,0.7147,0.0019,0.4537,0.0041,0.4298,0.0201,0.4828,0.0301
mpnet,count,combined,lgbm,BALANC,0.5,0.9222,0.0013,0.9299,0.0009,0.8547,0.0012,0.8586,0.0025,0.8365,0.0057,0.8821,0.0113
mpnet,count,combined,linsvc,REAL,0.04,0.34,0.0091,0.8843,0.0033,0.6609,0.0047,0.3494,0.0085,0.3468,0.0279,0.3557,0.0297
mpnet,count,combined,linsvc,BALANC,0.5,0.8769,0.0011,0.8847,0.001,0.8048,0.0015,0.8098,0.0029,0.7901,0.0051,0.8308,0.0111
mpnet,count,combined,logreg,REAL,0.04,0.3335,0.0082,0.8865,0.003,0.6552,0.0056,0.3376,0.0121,0.3475,0.0238,0.3321,0.0368
mpnet,count,combined,logreg,BALANC,0.5,0.876,0.0012,0.8867,0.0009,0.8058,0.0013,0.8145,0.0013,0.7808,0.0031,0.8514,0.0046
mpnet,count,combined,mlp,REAL,0.04,0.4276,0.0089,0.915,0.0004,0.7077,0.0019,0.4398,0.0041,0.4247,0.0257,0.4593,0.033
mpnet,count,combined,mlp,BALANC,0.5,0.9106,0.0013,0.9143,0.0011,0.8383,0.0016,0.8398,0.0017,0.8324,0.0028,0.8472,0.0044
mpnet,count,combined,svc,REAL,0.04,0.4512,0.0076,0.899,0.0037,0.7144,0.0023,0.4514,0.005,0.4611,0.0349,0.4462,0.0345
mpnet,count,combined,svc,BALANC,0.5,0.9041,0.0011,0.8988,0.0011,0.8233,0.0014,0.819,0.0019,0.8401,0.0038,0.7991,0.0058
mpnet,count,combined,xgb,REAL,0.04,0.477,0.0062,0.9324,0.0012,0.7224,0.0031,0.4669,0.0057,0.4702,0.0257,0.4657,0.0246
mpnet,count,combined,xgb,BALANC,0.5,0.9262,0.0012,0.9322,0.0008,0.8566,0.0009,0.8598,0.0011,0.8415,0.0028,0.879,0.0046
mpnet,count,content,histgb,REAL,0.04,0.4502,0.0029,0.9296,0.0007,0.7139,0.0009,0.4521,0.0027,0.4283,0.0146,0.4802,0.025
mpnet,count,content,histgb,BALANC,0.5,0.9217,0.0012,0.9294,0.0008,0.8537,0.001,0.8573,0.0008,0.8372,0.0065,0.8786,0.0081
mpnet,count,content,lgbm,REAL,0.04,0.4515,0.0046,0.9302,0.0012,0.7141,0.0029,0.4527,0.0054,0.4281,0.0333,0.4861,0.0453
mpnet,count,content,lgbm,BALANC,0.5,0.9224,0.0011,0.9301,0.0008,0.8553,0.0013,0.8599,0.0011,0.8339,0.0019,0.8877,0.0015
